Name,Gene_ID,GenomeBuild,Chr,Accession
cg00000292,487,36,16,NM_173201.2
cg00002426,7871,36,3,NM_007159.2
cg00003994,4223,36,7,NM_005924.3
cg00004667,,,,
cg00005847,3232,36,2,NM_006898.4
cg00006414,57541,36,7,NM_020781.2
cg00007981,24145,36,11,NM_015368.3
cg00008493,341947,36,14,NM_182971.1
cg00008713,3613,36,18,NM_014214.1
cg00009407,123016,36,14,NM_198309.2
cg00010193,401114,36,4,NM_207489.1
cg00011459,5373,36,16,NM_000303.1
cg00012199,6038,36,14,NM_194430.1
cg00012386,116841,36,1,NM_053052.2
cg00012792,81567,36,6,NM_030810.2
cg00013618,3535,36,22,
cg00014085,54884,36,2,NM_017750.2
cg00014837,84519,36,12,NM_032489.2
cg00015770,84109,36,4,NM_198179.1
cg00016968,389,36,1,NM_175744.3
cg00019495,84525,36,4,NM_032495.4
cg00020533,7287,36,6,NM_003322.2
cg00021527,8148,36,17,NM_003487.2
cg00022606,128637,36,20,NM_144628.1
cg00022866,283234,36,11,NM_032251.3
cg00024396,60481,36,6,NM_021814.3
cg00024812,51692,36,2,NM_016207.2
cg00025138,4293,36,14,NM_033141.2
cg00025991,22982,36,10,NM_014974.1
cg00027083,23136,36,18,NM_012307.2
cg00027674,23682,36,11,NM_022337.1
cg00029826,57820,36,14,NM_021178.2
cg00029931,6173,36,X,NM_021029.3
cg00030047,148646,36,1,NM_173795.2
cg00031162,407977,36,17,NM_172089.2
cg00032227,26151,36,17,NM_015654.3
cg00032666,10046,36,X,NM_005491.1
cg00033516,51274,36,4,NM_016531.3
cg00033773,84292,36,19,NM_032332.2
cg00034039,138241,36,9,NM_182505.3
cg00035347,22978,36,10,NM_012229.2
cg00035623,27338,36,19,NM_014501.1
cg00037763,26040,36,18,NM_015559.1
cg00037940,5291,36,3,NM_006219.1
cg00040861,51690,36,19,NM_016199.1
cg00040873,4716,36,16,NM_004548.1
cg00041575,10077,36,11,NM_139022.2
cg00042156,84856,36,10,NM_032770.3
cg00043004,124056,36,16,NM_144603.2
cg00043080,23646,36,19,NM_012268.1
cg00044245,2045,36,6,NM_004440.2
cg00044729,150350,36,22,NM_152512.3
cg00047050,8065,36,11,NM_003478.3
cg00047469,257169,36,9,NM_152786.1
cg00049986,55012,36,14,NM_017917.2
cg00050312,5578,36,17,NM_002737.2
cg00051623,834,36,11,NM_033294.2
cg00051979,118924,36,10,NM_203440.2
cg00053292,51204,36,17,NM_016360.2
cg00053647,221960,36,7,NM_198097.1
cg00054706,10438,36,2,NM_006333.2
cg00055233,6013,36,9,NM_006911.2
cg00056767,144811,36,13,NM_153218.1
cg00057593,2765,36,8,NM_002066.1
cg00058938,148014,36,19,NM_152479.3
cg00059225,2741,36,5,NM_000171.1
cg00059424,23481,36,22,NM_014303.2
cg00059740,78996,36,7,NM_024033.1
cg00059930,5925,36,13,NT_024524.13
cg00060762,123169,36,15,NM_138792.2
cg00060882,1968,36,X,NM_001415.2
cg00061059,9524,36,19,NM_138501.4
cg00061629,60529,36,11,NT_009237.17
cg00062776,7288,36,19,NM_003323.1
cg00063144,3881,36,17,NM_002277.2
