X1,CpG,Chromosome,Map Info,Gene Symbol,Entrez ID,Weight,Univariate Age Correlation,Horvath Overlap,Hannum Overlap,PRC
16.0,cg04084157,7.0,100595769.0,VGF,7425.0,31.62165709,0.507580445,Yes,No,1.0
18.0,cg02503970,8.0,134653327.0,ST3GAL1,6482.0,25.58514041,-0.066662197,No,No,1.0
20.0,cg23710218,8.0,72919210.0,MSC,9242.0,24.15870289,0.238845216,No,No,1.0
22.0,cg13631913,1.0,9522932.0,MGC4399,84275.0,23.83805501,-0.018826172,No,No,1.0
29.0,cg07850604,14.0,35073194.0,INSM2,84684.0,21.31021579,0.382446492,No,No,1.0
37.0,cg03977782,3.0,114734370.0,SIDT1,54847.0,19.45230678,-0.046774361,No,No,1.0
42.0,cg17896249,16.0,65783488.0,E2F4,1874.0,18.0100431,-0.007772862,No,No,1.0
46.0,cg26815229,1.0,60165521.0,CYP2J2,1573.0,-17.14738745,-0.283777465,No,No,1.0
50.0,cg05492270,11.0,71317733.0,RNF121,55298.0,-16.73113119,-0.018817627,No,No,1.0
55.0,cg06533629,7.0,130069910.0,KLF14,136259.0,16.05623965,0.319922906,No,No,1.0
75.0,cg00462994,17.0,39437481.0,NAGS,162417.0,13.58737822,0.497887892,No,No,1.0
80.0,cg18267374,8.0,24827178.0,NEF3,4741.0,13.32614877,0.618976117,No,No,1.0
95.0,cg03172991,19.0,12966728.0,NFIX,4784.0,-11.96946328,-0.384880345,No,No,1.0
106.0,cg04528819,7.0,130068855.0,KLF14,136259.0,11.07259285,0.573728073,Yes,No,1.0
108.0,cg06908778,10.0,22674608.0,SPAG6,9576.0,10.86511161,0.434412195,No,No,1.0
123.0,cg17129388,17.0,44926985.0,NGFR,4804.0,9.679594816,-0.057253065,No,No,1.0
139.0,cg01441777,22.0,37044362.0,CSNK1E,1454.0,-8.741688217,-0.339974095,No,No,1.0
178.0,cg08035942,18.0,71050325.0,ZADH2,284273.0,-6.589880588,-0.04850144,No,No,1.0
181.0,cg11631518,12.0,73889852.0,KCNC2,3747.0,6.461478745,0.22906874,No,No,1.0
